Season,Date,Home Team,Away Team,Score
2000-2001,20:00,Barcelona,Valencia,"3            

                2"
2000-2001,20:00,Deportivo La Coruna,Malaga,"4            

                0"
2000-2001,20:00,Real Madrid,Real Valladolid,"2            

                1"
2000-2001,20:00,Real Mallorca,Real Oviedo,"4            

                2"
2000-2001,20:00,Real Sociedad,Osasuna,"0            

                1"
2000-2001,20:00,Real Zaragoza,Celta Vigo,"1            

                1"
2000-2001,18:00,Numancia,Alaves,"2            

                1"
2000-2001,20:00,Standard Liege,Athletic Bilbao,"3            

                0"
2000-2001,20:30,Villarreal,Espanyol,"4            

                0"
2000-2001,21:00,Las Palmas,Rayo Vallecano,"1            

                0"
2000-2001,17:00,Espanyol,Las Palmas,"3            

                2"
2000-2001,20:00,Alaves,Real Mallorca,"2            

                4"
2000-2001,20:00,Athletic Bilbao,Real Sociedad,"1            

                3"
2000-2001,20:00,Celta Vigo,Villarreal,"1            

                0"
2000-2001,20:00,Malaga,Standard Liege,"2            

                1"
2000-2001,20:00,Osasuna,Real Zaragoza,"1            

                0"
2000-2001,20:00,Rayo Vallecano,Numancia,"2            

                1"
2000-2001,20:00,Real Oviedo,Real Madrid,"1            

                1"
2000-2001,20:00,Real Valladolid,Barcelona,"2            

                2"
2000-2001,20:00,Valencia,Deportivo La Coruna,"0            

                1"
2000-2001,17:00,Athletic Bilbao,Malaga,"1            

                3"
2000-2001,17:00,Numancia,Espanyol,"2            

                1"
2000-2001,17:00,Standard Liege,Valencia,"1            

                1"
2000-2001,17:00,Villarreal,Osasuna,"2            

                0"
2000-2001,18:00,Real Mallorca,Rayo Vallecano,"4            

                0"
2000-2001,19:00,Barcelona,Real Oviedo,"0            

                1"
2000-2001,19:00,Deportivo La Coruna,Real Valladolid,"1            

                2"
2000-2001,19:00,Real Zaragoza,Real Sociedad,"1            

                1"
2000-2001,20:30,Real Madrid,Alaves,"5            

                0"
2000-2001,21:00,Las Palmas,Celta Vigo,"0            

                1"
2000-2001,17:00,Celta Vigo,Numancia,"1            

                1"
2000-2001,17:00,Espanyol,Real Mallorca,"0            

                1"
2000-2001,17:00,Osasuna,Las Palmas,"3            

                3"
2000-2001,17:00,Real Sociedad,Malaga,"4            

                0"
2000-2001,17:00,Real Valladolid,Standard Liege,"1            

                1"
2000-2001,18:00,Real Oviedo,Deportivo La Coruna,"2            

                3"
2000-2001,18:00,Real Zaragoza,Villarreal,"0            

                0"
2000-2001,19:00,Rayo Vallecano,Real Madrid,"0            

                1"
2000-2001,20:30,Alaves,Barcelona,"0            

                1"
2000-2001,20:00,Valencia,Athletic Bilbao,"1            

                0"
2000-2001,17:00,Athletic Bilbao,Real Valladolid,"1            

                1"
2000-2001,17:00,Malaga,Valencia,"3            

                0"
2000-2001,17:00,Numancia,Osasuna,"1            

                0"
2000-2001,17:00,Real Mallorca,Celta Vigo,"2            

                0"
2000-2001,18:00,Las Palmas,Real Zaragoza,"2            

                1"
2000-2001,19:00,Barcelona,Rayo Vallecano,"5            

                1"
2000-2001,19:00,Real Madrid,Espanyol,"2            

                2"
2000-2001,19:15,Standard Liege,Real Oviedo,"2            

                0"
2000-2001,19:30,Villarreal,Real Sociedad,"1            

                3"
2000-2001,17:00,Alaves,Standard Liege,"5            

                1"
2000-2001,17:00,Osasuna,Real Mallorca,"1            

                0"
2000-2001,17:00,Real Oviedo,Athletic Bilbao,"5            

                0"
2000-2001,17:00,Real Valladolid,Malaga,"0            

                0"
2000-2001,17:00,Villarreal,Las Palmas,"2            

                1"
2000-2001,18:00,Real Zaragoza,Numancia,"3            

                1"
2000-2001,19:00,Rayo Vallecano,Deportivo La Coruna,"1            

                1"
2000-2001,19:15,Real Sociedad,Valencia,"1            

                2"
2000-2001,19:30,Celta Vigo,Real Madrid,"3            

                0"
2000-2001,20:00,Espanyol,Barcelona,"0            

                0"
2000-2001,17:00,Athletic Bilbao,Alaves,"2            

                0"
2000-2001,17:00,Deportivo La Coruna,Espanyol,"1            

                0"
2000-2001,17:00,Malaga,Real Oviedo,"2            

                2"
2000-2001,17:00,Numancia,Villarreal,"1            

                3"
2000-2001,17:00,Real Mallorca,Real Zaragoza,"2            

                1"
2000-2001,17:00,Standard Liege,Rayo Vallecano,"1            

                1"
2000-2001,18:00,Las Palmas,Real Sociedad,"2            

                1"
2000-2001,19:00,Barcelona,Celta Vigo,"1            

                1"
2000-2001,20:00,Real Madrid,Osasuna,"1            

                1"
2000-2001,20:00,Valencia,Real Valladolid,"1            

                0"
2000-2001,17:00,Alaves,Malaga,"1            

                2"
2000-2001,17:00,Espanyol,Standard Liege,"3            

                0"
2000-2001,17:00,Osasuna,Barcelona,"3            

                1"
2000-2001,17:00,Rayo Vallecano,Athletic Bilbao,"1            

                2"
2000-2001,17:00,Real Sociedad,Real Valladolid,"3            

                1"
2000-2001,17:00,Villarreal,Real Mallorca,"2            

                2"
2000-2001,18:00,Las Palmas,Numancia,"1            

                1"
2000-2001,18:00,Real Zaragoza,Real Madrid,"2            

                3"
2000-2001,19:00,Real Oviedo,Valencia,"0            

                0"
2000-2001,20:00,Celta Vigo,Deportivo La Coruna,"2            

                1"
2000-2001,17:00,Athletic Bilbao,Espanyol,"0            

                1"
2000-2001,17:00,Malaga,Rayo Vallecano,"1            

                1"
2000-2001,17:00,Numancia,Real Sociedad,"3            

                3"
2000-2001,17:00,Real Valladolid,Real Oviedo,"1            

                0"
2000-2001,17:00,Standard Liege,Celta Vigo,"3            

                0"
2000-2001,19:00,Real Mallorca,Las Palmas,"2            

                1"
2000-2001,19:45,Deportivo La Coruna,Osasuna,"2            

                1"
2000-2001,20:00,Barcelona,Real Zaragoza,"4            

                4"
2000-2001,20:00,Valencia,Alaves,"1            

                2"
2000-2001,20:15,Real Madrid,Villarreal,"4            

                0"
2000-2001,16:00,Alaves,Real Valladolid,"4            

                2"
2000-2001,16:00,Celta Vigo,Athletic Bilbao,"2            

                1"
2000-2001,16:00,Espanyol,Malaga,"1            

                2"
2000-2001,16:00,Las Palmas,Real Madrid,"0            

                1"
2000-2001,16:00,Numancia,Real Mallorca,"0            

                2"
2000-2001,16:00,Osasuna,Standard Liege,"1            

                1"
2000-2001,16:00,Real Sociedad,Real Oviedo,"3            

                0"
2000-2001,16:00,Real Zaragoza,Deportivo La Coruna,"2            

                1"
2000-2001,16:00,Villarreal,Barcelona,"4            

                4"
2000-2001,20:00,Rayo Vallecano,Valencia,"1            

                4"
2000-2001,17:00,Real Mallorca,Real Sociedad,"1            

                1"
2000-2001,17:00,Real Oviedo,Alaves,"3            

                3"
2000-2001,17:00,Real Valladolid,Rayo Vallecano,"1            

                3"
2000-2001,17:00,Standard Liege,Real Zaragoza,"2            

                1"
2000-2001,18:00,Barcelona,Las Palmas,"4            

                1"
2000-2001,19:00,Athletic Bilbao,Osasuna,"0            

                1"
2000-2001,19:00,Real Madrid,Numancia,"1            

                0"
2000-2001,19:45,Deportivo La Coruna,Villarreal,"4            

                2"
2000-2001,20:00,Malaga,Celta Vigo,"1            

                4"
2000-2001,20:00,Valencia,Espanyol,"0            

                1"
2000-2001,16:00,Espanyol,Real Valladolid,"1            

                0"
2000-2001,16:00,Numancia,Barcelona,"1            

                1"
2000-2001,16:00,Osasuna,Malaga,"3            

                3"
2000-2001,16:00,Rayo Vallecano,Real Oviedo,"0            

                2"
2000-2001,16:00,Real Mallorca,Real Madrid,"1            

                0"
2000-2001,16:00,Real Sociedad,Alaves,"1            

                1"
2000-2001,16:00,Real Zaragoza,Athletic Bilbao,"2            

                2"
2000-2001,16:00,Villarreal,Standard Liege,"4            

                2"
2000-2001,19:30,Celta Vigo,Valencia,"3            

                2"
2000-2001,20:00,Las Palmas,Deportivo La Coruna,"2            

                0"
